##### fcrypt -d -n 2..3 words/city-jp.txt
##### 53 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
AKITA+KYOTO=SENDAI (45674+58272=103946)
AKITA+AOMORI+MORIOKA=FUKUOKA (61406+657594+7594516=8313516)
AKITA+AOMORI+ODAWARA=MORIOKA (62416+678704+7963606=8704726)
AKITA+AOMORI+TOTTORI=FUKUOKA (41074+496920+7977920=8515914)
AKITA+CHIBA+OITA=HAKONE (45634+91604+8634=145872)
AKITA+FUJI+KYOTO=TOYAMA (56815+3478+69212=129505)
AKITA+FUKUI+GIFU=CHIBA (50975+31019+4931=86925)
AKITA+FUKUI+KOCHI=TOKYO (43294+16362+38702=98358)
AKITA+FUKUI+KOFU=NAGOYA (35423+96564+5096=137083)
AKITA+FUKUI+KOFU=TOYAMA (28312+67873+8067=104252)
AKITA+FUKUI+KYOTO=NAGANO (86258+30602+67959=184819)
AKITA+FUKUI+SAPPORO=TOTTORI (92749+85257+3966101=4144107)
AKITA+FUKUI+TOKYO=URAWA (30213+49092+18058=97363)
AKITA+FUKUI+TSU=NAGANO (64286+95452+875=160613)
AKITA+FUKUOKA+KOFU=ODAWARA (18251+3989481+8439=4016171)
AKITA+FUKUOKA+OKAYAMA=MIYAZAKI (82478+9020528+5283818=14386824)
AKITA+FUKUOKA+TOKYO=NIIGATA (97039+4878179+31721=5006939)
AKITA+GIFU+KOFU=TOYAMA (87418+9425+7025=103868)
AKITA+GIFU+KYOTO=TOYAMA (65716+4708+59212=129636)
AKITA+HAKONE+KYOTO=TOYAMA (74867+574901+42969=692737)
AKITA+HAKONE+MITO=AOMORI (64976+564380+1973=631329)
AKITA+HAKONE+MITO=NIIGATA (52085+952416+3084=1007585)
AKITA+HAKONE+MITO=TOYAMA (91049+391862+5048=487959)
AKITA+HAKONE+NAHA=AOMORI (82108+782645+4878=869631)
AKITA+HAKONE+NIIGATA=TOTTORI (12791+312085+8774191=9099067)
AKITA+HAKONE+NIKKO=TOYAMA (54295+854763+62447=971505)
AKITA+HAKONE+TOKYO=NAGOYA (30973+130426+74084=235483)
AKITA+HAKONE+TOKYO=NIIGATA (24052+924713+57487=1006252)
AKITA+KAMAKURA+NAGANO=KUMAMOTO (53275+35853605+951594=36858474)
AKITA+KOBE+KYOTO=NAGANO (78647+8023+89040=175710)
AKITA+KOBE+KYOTO=NAGOYA (98379+8604+85676=192659)
AKITA+KOBE+OITA=SENDAI (89628+9530+5628=104786)
AKITA+KOCHI+MITO=TOYAMA (69316+97053+8317=174686)
AKITA+KOCHI+NAHA=HAKONE (79407+96514+3717=179638)
AKITA+KOCHI+NAHA=NAGANO (39863+94078+1373=135314)
AKITA+KOCHI+NIKKO=HAKONE (84698+43216+56443=184357)
AKITA+KOCHI+OITA=NAGOYA (68426+87904+7426=163756)
AKITA+KOCHI+OITA=TOYAMA (87218+76402+6218=169838)
AKITA+KOCHI+TOKYO=CHIBA (12431+26754+36296=75481)
AKITA+KOFU+KYOTO=NAGANO (78647+8023+89040=175710)
AKITA+KOFU+KYOTO=NAGOYA (98379+8604+85676=192659)
AKITA+KUMAMOTO+MITO=KANAZAWA (82648+27989545+9645=28081838)
AKITA+KYOTO+NAGOYA=TOYAMA (92569+27161+498179=617909)
AKITA+KYOTO+NAHA=NAGOYA (29762+93868+1202=124832)
AKITA+KYOTO+NARA=NAGOYA (29762+93868+1202=124832)
AKITA+KYOTO+NIKKO=NAGANO (78467+82363+14883=175713)
AKITA+KYOTO+NIKKO=TOKYO (43284+30686+12336=86306)
AKITA+KYOTO+OITA=NAGOYA (68526+87424+4526=160476)
AKITA+KYOTO+OITA=SENDAI (37543+78949+9543=126035)
AKITA+KYOTO+OKAYAMA=ODAWARA (62586+29484+4269606=4361676)
AKITA+KYOTO+OSAKA=NAGOYA (43574+38676+60434=142684)
AKITA+KYOTO+OTSU=NAGOYA (28642+89747+7403=125792)
AKITA+KYOTO+SAGA=NAGOYA (69276+93474+5686=168436)
AKITA+KYOTO+TOKYO=HAKONE (76437+60939+39609=176985)
AKITA+KYOTO+TOKYO=NAGANO (72087+24383+83243=179713)
AKITA+KYOTO+TOKYO=ZUSHI (13521+39727+27397=80645)
AKITA+KYOTO+TSU=MATSUE (39873+96474+705=137052)
AKITA+KYOTO+ZUSHI=TOKYO (12981+23787+50469=87237)
AKITA+MATSUE+OTSU=AOMORI (81208+780395+6039=867642)
AKITA+MITO+NIKKO=MATSUE (53845+1846+98336=154027)
AKITA+MITO+OITA=OSAKA (47824+5826+6824=60474)
AKITA+MITO+OSAKA=NAGANO (58465+3469+90585=152519)
AKITA+MITO+OSAKA=SENDAI (38273+5276+61383=104932)
AKITA+MITO+TOKYO=KYOTO (18051+7059+59849=84959)
AKITA+MORIOKA+NAHA=NIIGATA (53015+7940935+8565=8002515)
AKITA+MORIOKA+SAGA=NIIGATA (58035+6940985+2515=7001535)
AKITA+MORIOKA+TOYAMA=SAPPORO (12871+5348321+739151=6100343)
AKITA+NAGANO+NIIGATA=FUKUOKA (65136+867684+8117636=9050456)
AKITA+NAGANO+NIKKO=SENDAI (37913+436348+49778=524039)
AKITA+NAGANO+OSAKA=SENDAI (70547+278721+13707=362975)
AKITA+NAGANO+SAGA=SENDAI (68746+160615+2606=231967)
AKITA+NAGANO+TOKYO=TOYAMA (68176+563650+70820=702646)
AKITA+NAGOYA+YAMAGATA=YOKOHAMA (51295+354685+85754595=86160575)
AKITA+NAHA+NIKKO=TOYAMA (72817+5707+58223=136747)
AKITA+NARA+NIKKO=TOYAMA (72817+5707+58223=136747)
AKITA+NIIGATA+TOKYO=FUKUOKA (93859+6884959+51321=7030139)
AKITA+NIKKO+OITA=SENDAI (97659+36778+8659=143096)
AKITA+NIKKO+OSAKA=FUKUI (60476+14002+23606=98084)
AKITA+NIKKO+SENDAI=HAKONE (18271+62880+436912=518063)
AKITA+NIKKO+SENDAI=NAGANO (61456+34119+273064=368639)
AKITA+NIKKO+TOKYO=HAKONE (48574+25883+73863=148320)
AKITA+NIKKO+TOKYO=NAGANO (67086+10774+84754=162614)
AKITA+NIKKO+TOYAMA=HAKONE (40754+87001+512434=640189)
AKITA+ODAWARA+TOKYO=OKAYAMA (16371+9518101+79649=9614121)
AKITA+OITA+OSAKA=NAGANO (35483+9483+92353=137319)
AKITA+OITA+OSAKA=SENDAI (80438+7438+71808=159684)
AKITA+OITA+TOKYO=HAKONE (38793+4793+94864=138450)
AKITA+OITA+TOKYO=OSAKA (35923+7923+27507=71353)
AKITA+OKAYAMA+TOKYO=NIIGATA (39023+7934353+27947=8001323)
AKITA+OSAKA+TOKYO=FUKUI (35743+12353+41501=89597)
AKITA+OSAKA+TOKYO=KOCHI (19721+50191+25935=95847)
AKITA+OSAKA+TSU=SENDAI (65496+71656+912=138064)
AKITA+OTSU+TOKYO=OSAKA (38043+9471+49869=97383)
AKITA+SAPPORO+TOKYO=MORIOKA (98159+3922070+50860=4071089)
AKITA+TOKYO+URAWA=TOYAMA (80918+12072+34868=127858)
AOMORI+FUJI+FUKUOKA=MORIOKA (108065+7935+7949041=8065041)
AOMORI+FUJI+MORIOKA=FUKUOKA (951530+2470+1530589=2484589)
AOMORI+FUJI+MORIOKA=OKAYAMA (854520+6790+4520538=5381848)
AOMORI+FUJI+TOTTORI=FUKUOKA (470718+6298+5755718=6232734)
AOMORI+FUKUI+FUKUOKA=OKAYAMA (256570+48180+4818512=5123262)
AOMORI+FUKUI+KOFU=NAGANO (470783+61913+9761=542457)
AOMORI+FUKUI+NARA=NAGANO (158567+49397+2161=210125)
AOMORI+FUKUI+OKAYAMA=FUKUOKA (132365+40905+3917121=4090391)
AOMORI+FUKUOKA+KOFU=OKAYAMA (869627+5313618+1653=6184898)
AOMORI+FUKUOKA+OITA=MORIOKA (217158+6939132+1842=7158132)
AOMORI+FUKUOKA+OSAKA=SAPPORO (281834+5909802+86202=6277838)
AOMORI+FUKUOKA+TOYAMA=MORIOKA (815142+3707108+619858=5142108)
AOMORI+GIFU+NAGANO=MORIOKA (761642+5209+875786=1642637)
AOMORI+HAKONE+KOCHI=MORIOKA (421297+843250+32687=1297234)
AOMORI+HAKONE+NARA=MORIOKA (801093+285067+6898=1093058)
AOMORI+KANAZAWA+NIKKO=KAMAKURA (679703+46261656+23447=46964806)
AOMORI+KOBE+MORIOKA=ODAWARA (654597+8513+4597586=5260696)
AOMORI+KOBE+NAGANO=MORIOKA (531392+4370+856583=1392345)
AOMORI+KOBE+ODAWARA=MORIOKA (645418+3402+4769616=5418436)
AOMORI+KOCHI+NAHA=HAKONE (296984+19734+5232=321950)
AOMORI+KOCHI+NIKKO=HAKONE (364618+96058+78996=539672)
AOMORI+KOCHI+TOTTORI=OKAYAMA (196907+29347+8988907=9215161)
AOMORI+KOFU+MORIOKA=ODAWARA (654597+8513+4597586=5260696)
AOMORI+KOFU+NAGANO=MORIOKA (531392+4370+856583=1392345)
AOMORI+KOFU+ODAWARA=MORIOKA (645418+3402+4769616=5418436)
AOMORI+KYOTO+MITO=NAGANO (327218+95262+7862=430342)
AOMORI+KYOTO+MORIOKA=ODAWARA (276783+59747+6783752=7120282)
AOMORI+KYOTO+TOYAMA=NAGOYA (279713+65747+475292=820752)
AOMORI+KYOTO+TOYAMA=SAPPORO (630324+87393+937606=1655323)
AOMORI+MATSUE+OITA=SAPPORO (379708+935146+7853=1322707)
AOMORI+MATSUE+TOTTORI=MORIOKA (326217+635809+5255217=6217243)
AOMORI+MITO+NAGANO=SAPPORO (567624+7406+958596=1533626)
AOMORI+MITO+NIKKO=TOYAMA (714165+4581+95001=813747)
AOMORI+MITO+SAPPORO=OKAYAMA (964607+4736+5922606=6891949)
AOMORI+MITO+SENDAI=TOTTORI (869604+9416+732584=1611604)
AOMORI+MITO+TOKYO=TOYAMA (817136+7691+91051=915878)
AOMORI+MITO+TOTTORI=ODAWARA (682819+2978+7877819=8563616)
AOMORI+MITO+TOYAMA=MATSUE (257563+7345+459272=724180)
AOMORI+MITO+TOYAMA=NAGOYA (785862+5218+183757=974837)
AOMORI+MORIOKA+NAHA=OKAYAMA (754513+4513527+8707=5276747)
AOMORI+MORIOKA+SAGA=OKAYAMA (754513+4513527+8707=5276747)
AOMORI+NAGANO+NAGOYA=MORIOKA (812179+683861+683108=2179148)
AOMORI+NAGANO+NAHA=MORIOKA (431387+946493+9424=1387304)
AOMORI+NAGANO+NIKKO=MORIOKA (971735+698967+65007=1735709)
AOMORI+NAGANO+SAGA=SENDAI (643450+169614+8696=821760)
AOMORI+NAGANO+TOTTORI=MORIOKA (352594+730375+1511594=2594563)
AOMORI+NAGANO+TOTTORI=OKAYAMA (357529+136315+4544529=5038373)
AOMORI+NAGOYA+SAGA=SAPPORO (452587+946534+1464=1400585)
AOMORI+NAGOYA+TOKYO=OKAYAMA (416159+743104+81201=1240464)
AOMORI+NAGOYA+TOTTORI=MORIOKA (704015+278067+3033015=4015097)
AOMORI+NARA+NIKKO=HAKONE (169683+4181+43776=217640)
AOMORI+NARA+SAPPORO=OKAYAMA (542476+8575+3599474=4150525)
AOMORI+NARA+TOKYO=TOYAMA (861654+2858+96306=960818)
AOMORI+NARA+TOTTORI=OKAYAMA (847490+5898+3433490=4286878)
AOMORI+NARA+TOYAMA=NAGOYA (423286+5484+120434=549204)
AOMORI+NIKKO+OKAYAMA=FUKUOKA (413169+89551+1547434=2050154)
AOMORI+NIKKO+SAGA=NAGOYA (790961+81229+3757=875947)
AOMORI+NIKKO+TOTTORI=FUKUOKA (730352+42663+8388352=9161367)
AOMORI+NIKKO+TOTTORI=OKAYAMA (591923+73669+8988923=9654515)
AOMORI+NIKKO+TOYAMA=NAGOYA (136307+47883+235161=419351)
AOMORI+OITA+TOTTORI=ODAWARA (578740+7065+6766740=7352545)
AOMORI+OITA+TOYAMA=NIIGATA (769603+6357+562797=1338757)
AOMORI+OTSU+TOTTORI=MORIOKA (947418+4623+6466418=7418459)
AOMORI+OTSU+TOYAMA=MATSUE (315149+1278+216353=532780)
AOMORI+OTSU+URAWA=MATSUE (495971+9263+37404=542638)
AOMORI+SAGA+SENDAI=NAGANO (203084+5262+517924=726270)
AOMORI+SAPPORO+TOKYO=MORIOKA (876714+5800717+37297=6714728)
AOMORI+SAPPORO+TOTTORI=NIIGATA (796904+5733909+1911904=8442717)
AOMORI+SAPPORO+TSU=MORIOKA (876721+5844727+350=6721798)
AOMORI+SAPPORO+URAWA=MORIOKA (635317+4600313+81696=5317326)
AOMORI+TOKYO+TOTTORI=NIIGATA (570724+87137+8788724=9446585)
AOMORI+TOKYO+URAWA=TOYAMA (298961+39049+56272=394282)
AOMORI+TOTTORI+TSU=MORIOKA (983806+2822806+247=3806859)
AOMORI+TSU+URAWA=MATSUE (354520+768+82393=437681)
CHIBA+FUKUI+KOFU=AKITA (62358+17973+9017=89348)
CHIBA+KOBE+KOCHI=AOMORI (63281+7489+74632=145402)
CHIBA+KOBE+TOKYO=AKITA (17095+6298+32642=56035)
CHIBA+KOCHI+KYOTO=TOKYO (35109+27351+24787=87247)
CHIBA+KOCHI+MITO=TOYAMA (94325+67943+8317=170585)
CHIBA+KOCHI+OSAKA=HAKONE (91657+43916+38747=174320)
CHIBA+KOCHI+OSAKA=NIKKO (52768+13527+30818=97113)
CHIBA+KOCHI+OSAKA=TOKYO (20564+13205+39414=73183)
CHIBA+KOCHI+OSAKA=ZUSHI (54670+31546+12030=98246)
CHIBA+KOCHI+SAGA=NAGANO (43582+69435+7202=120219)
CHIBA+KYOTO+TOKYO=NIKKO (54607+18323+23183=96113)
CHIBA+NAGANO+NAHA=AOMORI (29587+673761+6797=710145)
CHIBA+NAGANO+NAHA=TOTTORI (76482+925290+9262=1011034)
FUJI+FUKUI+KOFU=AOMORI (9674+96264+2096=108034)
FUJI+FUKUI+KYOTO=TOYAMA (7398+73238+25010=105646)
FUJI+FUKUI+NAHA=HAKONE (9564+95754+2010=107328)
FUJI+FUKUI+NIKKO=HAKONE (7569+75259+49220=132048)
FUJI+FUKUI+TOKYO=TOYAMA (9756+97876+12802=120434)
FUJI+FUKUOKA+MORIOKA=TOTTORI (4932+4979075+1082075=6066082)
FUKUI+FUKUOKA+MORIOKA=ODAWARA (15052+1505908+7962908=9483868)
FUKUI+FUKUOKA+NAGOYA=NIIGATA (35851+3585089+497029=4117969)
FUKUI+FUKUOKA+TOTTORI=ODAWARA (63730+6373874+1811850=8249454)
FUKUI+FUKUOKA+TOYAMA=TOTTORI (73935+7393290+821040=8288265)
FUKUI+GIFU+KOBE=NAGANO (95358+2895+3764=102017)
FUKUI+GIFU+KOFU=NIKKO (21514+7421+5621=34556)
FUKUI+GIFU+NAGANO=HAKONE (91615+7591+307032=406238)
FUKUI+GIFU+OSAKA=NAGOYA (42628+9842+57060=109530)
FUKUI+GIFU+SAGA=NAGOYA (93437+5793+6050=105280)
FUKUI+GIFU+TSU=AKITA (53230+8053+793=62076)
FUKUI+KAMAKURA+OKAYAMA=KUMAMOTO (56963+94749684+1940474=96747121)
FUKUI+KOBE+NIKKO=NAGANO (79896+8234+16882=105012)
FUKUI+KOCHI+KOFU=HAKONE (69597+50417+5069=125083)
FUKUI+KOCHI+NAHA=NAGANO (96364+30574+1272=128210)
FUKUI+KOCHI+NIKKO=NAGANO (96360+38720+10338=145418)
FUKUI+KOCHI+OSAKA=ZUSHI (15458+43068+37242=95768)
FUKUI+KOFU+KYOTO=AOMORI (38780+7238+79242=125260)
FUKUI+KOFU+KYOTO=NIKKO (21419+4521+43505=69445)
FUKUI+KOFU+KYOTO=TOKYO (13237+2513+29545=45295)
FUKUI+KOFU+MITO=NAGANO (87973+9687+4356=102016)
FUKUI+KOFU+NAGANO=AOMORI (56163+1456+782874=840493)
FUKUI+KOFU+NAHA=NAGANO (97378+3597+1040=102015)
FUKUI+KOFU+NARA=HAKONE (97876+8497+2050=108423)
FUKUI+KOFU+NARA=NAGANO (97378+3597+1040=102015)
FUKUI+KOFU+NIKKO=AOMORI (84940+9684+70996=165620)
FUKUI+KOFU+NIKKO=NAGANO (93837+8493+17884=120214)
FUKUI+KOFU+OITA=HAKONE (92326+3792+7640=103758)
FUKUI+KOFU+OITA=NAGANO (89597+5689+6730=102016)
FUKUI+KOFU+OSAKA=NIKKO (54641+6254+20767=81662)
FUKUI+KOFU+OTSU=NAGANO (87972+9687+6357=104016)
FUKUI+KOFU+SAGA=NAGOYA (96864+8596+2070=107530)
FUKUI+KOFU+TOKYO=KYOTO (67973+9067+20980=98020)
FUKUI+KOFU+TOKYO=ZUSHI (17678+6317+23603=47598)
FUKUI+KOFU+TSU=TOYAMA (97574+5097+167=102838)
FUKUI+KOFU+URAWA=NAGANO (79695+6279+94838=180812)
FUKUI+KYOTO+OITA=NAGOYA (29693+68747+7340=105780)
FUKUI+KYOTO+TOKYO=URAWA (48186+13727+27137=89050)
FUKUI+KYOTO+TOKYO=ZUSHI (18289+24535+35245=78069)
FUKUI+MITO+NIKKO=NAGANO (79598+4862+18552=103012)
FUKUI+MITO+OSAKA=TOYAMA (94643+2317+78060=175020)
FUKUI+MITO+TOKYO=OSAKA (15254+3468+68298=87020)
FUKUI+MORIOKA+NAGANO=FUKUOKA (24043+1783709+596957=2404709)
FUKUI+NAHA+OSAKA=HAKONE (65059+7212+48202=120473)
FUKUI+NAHA+OSAKA=NAGANO (30705+1242+96272=128219)
FUKUI+NARA+OSAKA=NAGANO (30705+1242+96272=128219)
FUKUI+NIKKO+OSAKA=SENDAI (90106+86117+72313=248536)
FUKUI+NIKKO+OTSU=NAGANO (83537+17554+4923=106014)
FUKUI+OITA+OSAKA=MATSUE (86769+4923+40373=132065)
FUKUI+OITA+TOKYO=NAGANO (58084+7496+97037=162617)
FUKUI+OITA+TSU=NAGANO (97476+3680+857=102013)
FUKUI+OKAYAMA+TOYAMA=MORIOKA (40507+1538323+618323=2197153)
FUKUI+OSAKA+OTSU=AOMORI (89295+74121+7349=170765)
FUKUI+OSAKA+SAGA=NAGANO (40602+87363+7353=135318)
FUKUI+OSAKA+SAGA=NAGOYA (73038+46202+6252=125492)
FUKUI+OSAKA+TOKYO=KYOTO (35754+29676+12782=78212)
FUKUI+OSAKA+TSU=NAGANO (93738+60575+203=154516)
FUKUI+OTSU+TSU=NAGANO (94548+6734+734=102016)
FUKUOKA+GIFU+KAMAKURA=KUMAMOTO (1989387+4019+87278957=89272363)
FUKUOKA+GIFU+NAGANO=TOTTORI (2858056+7428+167610=3033094)
FUKUOKA+GIFU+NIIGATA=TOTTORI (4090793+2640+1662353=5755786)
FUKUOKA+GIFU+NIKKO=TOTTORI (2949046+8529+75440=3033015)
FUKUOKA+KAMAKURA+TOKYO=YOKOHAMA (4050258+58385018+92562=62527838)
FUKUOKA+KOFU+NAGOYA=NIIGATA (8727423+2487+935403=9665313)
FUKUOKA+KOFU+ODAWARA=MORIOKA (1424326+2314+3960686=5387326)
FUKUOKA+KOFU+ODAWARA=TOTTORI (1878376+7318+3469626=5355320)
FUKUOKA+KOFU+OKAYAMA=TOTTORI (4373178+7143+1785808=6166129)
FUKUOKA+KOFU+SAPPORO=KUMAMOTO (4212518+1542+7866535=12080595)
FUKUOKA+KOFU+SAPPORO=ODAWARA (2676473+7426+1355484=4039383)
FUKUOKA+KYOTO+TOKYO=ODAWARA (4979578+71535+35715=5086828)
FUKUOKA+KYOTO+TOYAMA=TOTTORI (8242147+43191+913767=9199105)
FUKUOKA+MORIOKA+URAWA=OKAYAMA (1272475+3460475+26585=4759535)
FUKUOKA+MORIOKA+URAWA=WAKAYAMA (2636530+7598530+69010=10304070)
FUKUOKA+NAGANO+NAGOYA=NIIGATA (3878476+561654+561496=5001626)
FUKUOKA+NAGANO+NAGOYA=OKAYAMA (2838436+765674+765496=4369606)
FUKUOKA+NAGANO+OITA=TOTTORI (3727621+910196+6841=4644658)
FUKUOKA+NAGANO+SAGA=NIIGATA (5808703+632367+1323=6442393)
FUKUOKA+NAGANO+SAGA=SAPPORO (7424520+601065+8010=8033595)
FUKUOKA+NIKKO+TOKYO=NIIGATA (6838531+70335+95325=7004191)
FUKUOKA+ODAWARA+URAWA=KAMAKURA (3717610+6409050+75090=10201750)
FUKUOKA+OITA+OKAYAMA=MORIOKA (6212315+3405+3158595=9374315)
FUKUOKA+OITA+TOTTORI=MORIOKA (3040849+8129+2822871=5871849)
FUKUOKA+OITA+TOYAMA=MORIOKA (3575170+1960+612040=4189170)
FUKUOKA+OSAKA+TOTTORI=KUMAMOTO (9313218+27818+4244206=13585242)
FUKUOKA+OSAKA+TOTTORI=MORIOKA (7010514+53414+2522586=9586514)
FUKUOKA+OSAKA+TOTTORI=SAPPORO (1454752+78252+6766703=8299707)
FUKUOKA+TOKYO+TOTTORI=MORIOKA (8050453+14524+1411476=9476453)
FUKUOKA+TOKYO+WAKAYAMA=KAMAKURA (9767862+38608+52620242=62426712)
FUKUOKA+TOYAMA+YOKOHAMA=YAMAGATA (1292395+634585+43930585=45857565)
GIFU+KYOTO+OITA=NAGOYA (6453+92787+7480=106720)
GIFU+KYOTO+TOKYO=NAGANO (5932+60878+78608=145418)
GIFU+KYOTO+TOKYO=NAGOYA (6509+42787+87427=136723)
GIFU+MITO+TOYAMA=NAGOYA (2481+3459+597030=602970)
GIFU+NAGANO+NIKKO=AOMORI (5290+785876+72446=863612)
GIFU+NAHA+NIKKO=HAKONE (9546+8010+85227=102783)
GIFU+NIIGATA+NIKKO=TOTTORI (7961+4997858+49220=5055039)
GIFU+NIKKO+OSAKA=NAGOYA (9362+13448+87040=109850)
HAKONE+KOBE+NAHA=AOMORI (894023+4063+2989=901075)
HAKONE+KOBE+NIKKO=AOMORI (348056+8076+52880=409012)
HAKONE+KOCHI+NAGANO=NIIGATA (783612+36470+185816=1005898)
HAKONE+KOCHI+NIKKO=AOMORI (459723+97041+21997=578761)
HAKONE+KOCHI+OITA=NAGANO (318640+86935+6571=412146)
HAKONE+KOCHI+OSAKA=SENDAI (397481+74632+45979=518092)
HAKONE+KOFU+NIKKO=FUKUOKA (932786+2710+85227=1020723)
HAKONE+KYOTO+NAGANO=TOYAMA (132975+20989+736379=890343)
HAKONE+KYOTO+NAGOYA=TOYAMA (194327+40353+296309=530989)
HAKONE+KYOTO+OITA=TOYAMA (547208+71262+2964=621434)
HAKONE+MORIOKA+NIKKO=TOTTORI (967210+3258276+18772=4244258)
HAKONE+NAGANO+NARA=MORIOKA (840357+546453+5494=1392304)
HAKONE+NAGANO+NIKKO=SENDAI (328917+126219+15889=471025)
HAKONE+NAGANO+OSAKA=SAPPORO (543986+842489+91434=1477909)
HAKONE+NAGANO+SAGA=SENDAI (309512+108015+4080=421607)
HAKONE+NAGANO+TOKYO=TOYAMA (493725+290927+87317=871969)
HAKONE+NAHA+NARA=SENDAI (297610+1929+1959=301498)
HAKONE+NAHA+NIKKO=AOMORI (236170+7323+74661=318154)
HAKONE+NAHA+OSAKA=NIIGATA (947516+1494+53474=1002484)
HAKONE+NAHA+SENDAI=NAGANO (630489+8363+198532=837384)
HAKONE+NAHA+TOKYO=FUKUOKA (962347+4696+53283=1020326)
HAKONE+NARA+OSAKA=NAGANO (417856+5131+89171=512158)
HAKONE+NARA+TOTTORI=MORIOKA (960378+7616+4344312=5312306)
HAKONE+NIKKO+OITA=AOMORI (786450+52664+4298=843412)
HAKONE+NIKKO+OSAKA=AOMORI (345860+62558+81454=489872)
HAKONE+NIKKO+TOKYO=TOYAMA (574831+39448+68428=682707)
HAKONE+OITA+TOTTORI=MORIOKA (921536+5472+7577504=8504512)
HAKONE+OKAYAMA+YOKOHAMA=YAMAGATA (869254+2963676+32928676=36761606)
HAKONE+OSAKA+SAGA=NIIGATA (926718+74262+4252=1005232)
HAKONE+OSAKA+TOKYO=TOYAMA (267189+15676+31741=314606)
