##### fcrypt -d -n 2..3 words/vegetabl.txt
##### 29 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
BASIL+CARROT=POTATO (91572+316608=408180)
BEET+ONION+OREGANO=CABBAGE (1332+74674+7935047=8011053)
BEET+ONION+POTATO=CARROT (2009+64164+769396=835569)
BEET+ONION+POTATO=TURNIP (2335+81781+485058=569174)
BEET+POTATO+TOMATO=CABBAGE (9557+647374+742374=1399305)
CABBAGE+CARROT+ONION=OREGANO (7411493+742280+85685=8239458)
CABBAGE+CELERY+CORN=OREGANO (3799756+362610+3418=4165784)
CARROT+CELERY+OKRA=LETTUCE (604473+621249+7840=1233562)
CARROT+CELERY+OKRA=POTATO (108895+176784+9380=295059)
CARROT+CELERY+POTATO=PARSLEY (759928+706093+128582=1594603)
CARROT+CORN+GARLIC=TOMATO (346695+3961+246803=597459)
CARROT+CORN+MINT=PEPPER (693314+6135+8254=707703)
CARROT+CORN+ONION=LETTUCE (984476+9742+72372=1066590)
CARROT+CORN+ONION=PEPPER (875523+8256+26126=909905)
CARROT+CORN+ONION=TOMATO (590026+5208+28728=623962)
CARROT+CORN+PEPPER=OREGANO (893316+8132+474473=1375921)
CARROT+CORN+POTATO=GARLIC (203397+2936+597079=803412)
CARROT+CORN+TURNIP=POTATO (408892+4981+278156=692029)
CARROT+GARLIC+MINT=TOMATO (670049+270156+3589=943794)
CARROT+GARLIC+ONION=OREGANO (872214+372058+19519=1263791)
CARROT+MINT+ONION=PEPPER (492286+3106+80180=575572)
CARROT+MINT+PEPPER=TOMATO (152209+8639+747742=908590)
CARROT+MINT+POTATO=TURNIP (703358+2498+158085=863941)
CARROT+OKRA+POTATO=LETTUCE (826647+4062+547274=1377983)
CARROT+OKRA+TOMATO=CABBAGE (102249+4720+948094=1055063)
CARROT+ONION+TOMATO=PEPPER (263375+71871+574657=909903)
CARROT+ONION+TURNIP=POTATO (367714+19019+427908=814641)
CARROT+PEPPER+POTATO=PARSLEY (807745+121127+145054=1073926)
CARROT+PEPPER+SAGE=OREGANO (583316+727723+9802=1320841)
CARROT+PEPPER+THYME=TOMATO (745569+121125+93802=960496)
CARROT+THYME+TOMATO=PEPPER (840021+16537+123412=979970)
CELERY+CORN+ONION=GARLIC (174705+1803+83983=260491)
CELERY+CORN+ONION=PEPPER (632315+6918+98498=737731)
CELERY+PEPPER+SAGE=GARLIC (146470+242247+8934=397651)
CORN+GARLIC+MINT=TOMATO (7038+493627+1285=501950)
CORN+MINT+TOMATO=GARLIC (6857+9471+189018=205346)
CORN+ONION+POTATO=CARROT (8564+54954+753135=816653)
CORN+ONION+POTATO=GARLIC (3594+54654+751015=809263)
CORN+ONION+RADISH=CARROT (7968+98398+640325=746691)
CORN+ONION+TOMATO=GARLIC (3594+54154+652065=709813)
CORN+ONION+TURNIP=PEPPER (1906+96296+740628=838830)
CORN+PEPPER+POTATO=TURNIP (4380+161168+132523=298071)
CORN+PEPPER+SAGE=CARROT (5176+494497+8039=507712)
CORN+PEPPER+TOMATO=CARROT (7384+191198+530253=728835)
MINT+OKRA+ONION=TURNIP (4821+9573+92892=107286)
MINT+ONION+PEPPER=CARROT (3716+21721+484489=509926)
MINT+ONION+PEPPER=POTATO (1827+42842+303305=347974)
MINT+ONION+PEPPER=TOMATO (7183+58158+292294=357635)
MINT+ONION+POTATO=CARROT (1945+64964+765356=832265)
MINT+ONION+THYME=PEPPER (8074+67067+45982=121123)
MINT+ONION+TOMATO=GARLIC (8426+52452+658165=719043)
MINT+PEPPER+POTATO=TURNIP (4267+383385+317971=705623)
MINT+PEPPER+TOMATO=CARROT (9132+505504+269826=784462)
OKRA+ONION+PEPPER=TURNIP (7280+76976+434438=518694)
OKRA+ONION+TURNIP=CARROT (4031+45745+863572=913348)
OKRA+PEPPER+POTATO=CELERY (9406+121120+197679=328205)
OKRA+POTATO+SAGE=CARROT (9670+193039+5084=207793)
ONION+PEPPER+SAGE=POTATO (24724+303308+1560=329592)
ONION+PEPPER+TOMATO=CARROT (24024+565567+328132=917723)
OREGANO+PEPPER+POTATO=CABBAGE (8621508+424426+487578=9533512)
PEPPER+POTATO+TOMATO=CARROT (272275+243634+349634=865543)
PEPPER+POTATO+TOMATO=LETTUCE (343342+367876+765876=1477094)
79 unique-solution puzzles found (34118 puzzles examined)
Total time = 21150 msec.
