##### fcrypt -d -n 2..3 words/computer.txt
##### 57 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
APPLE+CRACK=MEMORY (54483+76579=131062)
APPLE+ERROR+MODEM=MEMORY (80094+47737+13541=141372)
APPLE+ERROR+MPU=FOLDER (37786+69909+574=108269)
APPLE+ERROR+MPU=MEMORY (97745+53323+170=151238)
APPLE+ERROR+REBOOT=FLOPPY (61154+47727+743229=852110)
APPLE+FILE+IBOOK=FLOPPY (80026+1426+43557=125009)
APPLE+FLOPPY+MAIL=MEMORY (71164+269115+3706=343985)
APPLE+FLOPPY+MS=MEMORY (27781+386775+49=414605)
APPLE+FLOPPY+OS=MEMORY (95532+631554+18=727104)
APPLE+FLOPPY+PC=MEMORY (95532+631550+58=727140)
APPLE+FLOPPY+WWW=MEMORY (82231+634220+999=717450)
APPLE+FOLDER+MO=MEMORY (13320+492608+59=505987)
APPLE+FOLDER+MODEM=FLOPPY (51186+308469+20462=380117)
APPLE+IE+WEB=IBOOK (59987+67+170=60224)
APPLE+IMAC+MAC=MEMORY (93350+8196+196=101742)
APPLE+IMAC+PC=MEMORY (93340+8196+36=101572)
APPLE+MAC+MEMORY=FLOPPY (62203+867+838154=901224)
APPLE+MAC+PC=IBOOK (59978+153+93=60224)
APPLE+MAC+PC=MODEM (49981+542+92=50615)
APPLE+MAIL+RAM=FOLDER (97753+6985+496=105234)
APPLE+MAIL+RAM=REBOOT (96640+8934+198=105772)
APPLE+MAIL+ROM=FOLDER (94426+7932+507=102865)
APPLE+MAIL+ROM=MEMORY (98850+1975+421=101246)
APPLE+MEMORY+RAM=FOLDER (84402+626135+386=710923)
APPLE+MEMORY+WWW=FLOPPY (42239+595870+111=638220)
APPLE+MO+MODEM=REBOOT (92247+80+80678=173005)
APPLE+MO+MPU=MODEM (49982+50+593=50625)
APPLE+MO+MS=MODEM (69982+70+75=70127)
APPLE+MO+RAM=IBOOK (39916+27+832=40775)
APPLE+MODEM+MPU=MEMORY (82250+19601+123=101974)
APPLE+MODEM+OS=MEMORY (84420+17301+75=101796)
APPLE+MODEM+RAM=MEMORY (83360+17901+481=101742)
APPLE+MODEM+WWW=FLOPPY (49906+57865+222=107993)
APPLE+PC+WWW=CRASH (69982+97+555=70634)
APPLE+PRINTER+REBOOT=INTERNET (89924+9610346+645773=10346043)
APPLE+WS+WWW=MODEM (29961+75+777=30813)
BUG+ERROR+ROM=MODEM (742+58808+806=60356)
BUG+GUI+IBOOK=ERROR (849+946+68225=70020)
BUS+CRACK+CRASH=HACKER (970+83682+83601=168253)
BUS+CRACK+RAM=MOUSE (623+48741+875=50239)
BUS+ERROR+MS=MOUSE (217+39909+47=40173)
BUS+ERROR+ROM=MODEM (742+58808+806=60356)
BUS+HACK+MAC=MOUSE (562+9874+187=10623)
BUS+IBOOK+MOUSE=MEMORY (452+84667+16520=101639)
BUS+IMAC+WWW=MOUSE (637+9182+555=10374)
BUS+MAC+MOUSE=ERROR (238+467+49385=50090)
BUS+MO+MOUSE=ERROR (276+49+49765=50090)
BUS+MODEM+MOUSE=FOLDER (635+74287+74358=149280)
BUS+MOUSE+OS=ERROR (817+59176+97=60090)
BUS+MOUSE+WEB=ERROR (312+49125+653=50090)
CPU+CRACK+MS=MOUSE (381+39735+46=40162)
CPU+ERROR+ROM=MODEM (742+58808+806=60356)
CPU+HACK+MAC=IBOOK (753+8976+497=10226)
CPU+HACK+WWW=IBOOK (953+8496+777=10226)
CPU+IMAC+WWW=CRASH (174+9561+888=10623)
CPU+MOUSE+MPU=CRASH (648+59827+548=61023)
CPU+MOUSE+MPU=IBOOK (738+49816+438=50992)
CRACK+CRACKER+HACK=NETWORK (49841+4984109+2841=5036791)
CRACK+CRACKER+HACKER=NETWORK (85781+8578135+678135=9342051)
CRACK+CRACKER+REBOOT=NETWORK (17614+1761457+759003=2538074)
CRACK+CRASH+DISK=HACKER (67368+67391+2098=136857)
CRACK+CRASH+HACK=HACKER (93896+93851+1896=189643)
CRACK+CRASH+HACKER=MEMORY (41243+41275+524301=606819)
CRACK+CRASH+IBOOK=HACKER (84186+84172+50336=218694)
CRACK+CRASH+IMAC=HACKER (59253+59271+6825=125349)
CRACK+CRASH+MAC=HACKER (73475+73401+647=147523)
CRACK+CRASH+MEMORY=HACKER (87180+87195+343672=518047)
CRACK+CRASH+SCANNER=MACHINE (97096+97028+2904417=3098541)
CRACK+DISKETTE+SCANNER=INTERNET (13012+67824994+8105543=75943549)
CRACK+DOWN+ERROR=HACKER (28023+5497+68848=102368)
CRACK+ERROR+FILE=IBOOK (26521+46606+9874=83001)
CRACK+ERROR+FOLDER=HACKER (17013+97787+286597=401397)
CRACK+ERROR+IBOOK=APPLE (45948+15525+36228=97701)
CRACK+ERROR+IBOOK=MEMORY (42749+82232+56339=181320)
CRACK+ERROR+IBOOK=MODEM (13418+63373+20778=97569)
CRACK+ERROR+IE=FOLDER (75372+85565+48=160985)
CRACK+ERROR+MODEM=HACKER (94698+54404+20752=169854)
CRACK+ERROR+PC=FLOPPY (43540+83363+94=126997)
CRACK+ERROR+PC=FOLDER (26928+76606+42=103576)
CRACK+HACK+HACKER=MEMORY (37632+8632+863207=909471)
CRACK+HACK+MOUSE=HACKER (95796+1796+82043=179635)
CRACK+HACK+PC=MEMORY (97293+4293+89=101675)
CRACK+HACKER+MAC=MEMORY (32834+683412+783=717029)
CRACK+HACKER+MS=MEMORY (89480+648039+72=737591)
CRACK+HACKER+OS=MEMORY (16915+791506+42=808463)
CRACK+HACKER+PC=MEMORY (14918+591804+21=606743)
CRACK+HACKER+RAM=REBOOT (64867+386754+489=452110)
CRACK+HACKER+ROM=REBOOT (86280+528016+697=614993)
CRACK+HACKER+WEB=REBOOT (14915+391504+807=407226)
CRACK+HACKER+WWW=REBOOT (57850+685047+222=743119)
CRACK+IBOOK+IE=HACKER (75378+62448+69=137895)
CRACK+IBOOK+IMAC=HACKER (62463+75993+7846=146302)
CRACK+IBOOK+IMAC=MEMORY (50759+82669+8175=141603)
CRACK+IBOOK+PC=HACKER (60362+75882+46=136290)
CRACK+IBOOK+ROM=MEMORY (42643+58993+291=101927)
CRACK+IE+MODEM=HACKER (58253+49+67096=125398)
CRACK+IE+WWW=MODEM (39835+12+777=40624)
CRACK+IMAC+MAC=MEMORY (97896+3189+189=101274)
CRACK+IMAC+MEMORY=HACKER (82481+9648+656023=748152)
CRACK+IMAC+MO=MEMORY (94392+7139+15=101546)
CRACK+IMAC+MODEM=MEMORY (83487+2148+15901=101536)
CRACK+IMAC+PC=MEMORY (98596+3159+29=101784)
CRACK+MAC+MODEM=REBOOT (91497+649+60856=153002)
CRACK+MEMORY+MODEM=HACKER (64563+171940+19871=256374)
CRACK+MEMORY+WWW=HACKER (56051+848762+333=905146)
CRACK+MO+MOUSE=HACKER (96794+82+82530=179406)
CRACK+MO+WWW=MOUSE (39237+40+888=40165)
CRACK+MODEM+MS=HACKER (39038+64726+65=103829)
CRACK+MODEM+PC=HACKER (78475+69036+27=147538)
CRACK+MODEM+RAM=MEMORY (87984+12501+791=101276)
CRACK+MODEM+WWW=HACKER (59358+76027+444=135829)
CRACK+MOUSE+MS=HACKER (97496+52083+58=149637)
CRACK+MOUSE+ROM=HACKER (53458+92076+329=145863)
CRACK+MS+WWW=MOUSE (59857+64+222=60143)
CRACK+REBOOT+WWW=HACKER (58253+867004+111=925368)
CRACKER+HACK+HACKER=PRINTER (1471684+9716+971684=2453084)
CRACKER+HACKER+IE=PRINTER (4364073+964073+27=5328173)
CRACKER+HACKER+IMAC=SCANNER (3703197+603197+2503=4308897)
CRACKER+HACKER+MAC=MACHINE (2612746+512746+312=3125804)
CRACKER+HACKER+WWW=NETWORK (4614036+714036+888=5328960)
CRACKER+INTERNET+NT=NETSCAPE (8058120+34620426+46=42678592)
CRACKER+NETWORK+WS=SCANNER (1491274+6705342+58=8196674)
CRACKER+NT+REBOOT=SCANNER (3603296+15+697885=4301196)
CRACKER+NT+SCANNER=NETWORK (4374183+65+2476683=6850931)
CRACKER+SCANNER+WS=NETWORK (1861908+3165508+73=5027489)
CRACKER+SCANNER+WWW=NETWORK (1721387+5126687+999=6849073)
CRASH+ERROR+MEMORY=HACKER (54239+84404+787041=925684)
CRASH+ERROR+OS=FOLDER (65382+75545+48=140975)
CRASH+ERROR+REBOOT=HACKER (85396+25515+527114=638025)
CRASH+ERROR+ROM=HACKER (36271+86606+609=123486)
CRASH+HACK+MODEM=HACKER (93601+1695+74287=169583)
CRASH+HACKER+MO=MEMORY (21873+382601+45=404519)
CRASH+HACKER+MS=MEMORY (87294+428317+59=515670)
CRASH+HACKER+ROM=MEMORY (65792+276845+513=343150)
CRASH+IMAC+MS=MEMORY (98426+3149+12=101587)
CRASH+MAC+MEMORY=HACKER (34019+803+868742=903564)
CRASH+MAC+MODEM=MEMORY (82476+148+19301=101925)
CRASH+MAC+MS=APPLE (29351+632+65=30048)
CRASH+MEMORY+MO=HACKER (29164+383590+35=412789)
CRASH+MEMORY+ROM=HACKER (95604+373158+513=469275)
CRASH+MO+MODEM=HACKER (98631+70+70547=169248)
CRASH+MO+MOUSE=HACKER (74561+83+83260=157904)
CRASH+MODEM+ROM=HACKER (25031+76897+567=102495)
CRASH+MOUSE+MS=HACKER (93681+75284+78=169043)
CRASH+MOUSE+ROM=HACKER (98271+30574+803=129648)
CRASH+MPU+PC=MOUSE (39781+452+53=40286)
CRASH+NT+SCANNER=PRINTER (90253+47+5924480=6014780)
CRASH+RAM+WS=MODEM (39582+954+78=40614)
DISK+ERROR+IBOOK=FOLDER (2870+59949+83440=146259)
DISK+ERROR+MODEM=FOLDER (7942+60050+85768=153760)
DISK+IBOOK+MODEM=ERROR (7158+12008+30743=49909)
DISK+IE+MS=ERROR (9863+81+76=10020)
DISK+IE+WS=ERROR (9863+81+76=10020)
DISK+MODEM+ROM=REBOOT (7684+95709+159=103552)
DOWN+ERROR+WWW=HACKER (5473+96646+777=102896)
DOWN+FOLDER+MODEM=MEMORY (5310+739526+83528=828364)
DOWN+IE+WWW=ERROR (9827+31+222=10080)
DOWN+MO+ROM=LINUX (9574+35+853=10462)
DOWN+MODEM+WWW=REBOOT (8526+95809+222=104557)
DOWN+MS+WWW=CRASH (9658+34+555=10247)
DOWN+OS+WS=APPLE (9872+86+76=10034)
DOWN+PC+WWW=CRACK (9567+81+666=10314)
ERROR+FILE+IBOOK=FLOPPY (63373+1406+42779=107558)
ERROR+FILE+MAIL=FLOPPY (96636+1809+4780=103225)
ERROR+FILE+MEMORY=REBOOT (87747+9218+686475=783440)
ERROR+FILE+REBOOT=FLOPPY (68838+9046+865337=943221)
ERROR+FILE+REBOOT=FOLDER (71141+2087+175443=248671)
ERROR+FLOPPY+WEB=MEMORY (54484+198007+356=252847)
ERROR+FOLDER+MS=MEMORY (58898+194058+27=252983)
ERROR+FOLDER+ROM=MEMORY (87797+194387+792=282976)
ERROR+FOLDER+WWW=MEMORY (76696+195376+888=272960)
ERROR+FOLDER+WWW=REBOOT (13393+296713+888=310994)
ERROR+GUI+ROM=LINUX (28858+760+851=30469)
ERROR+GUI+ROM=MODEM (58808+742+806=60356)
ERROR+HACK+HACKER=MEMORY (76646+1938+193876=272460)
ERROR+HACK+HACKER=REBOOT (42252+1963+196342=240557)
ERROR+HACK+MEMORY=HACKER (53313+9206+858134=920653)
ERROR+HACK+MOUSE=HACKER (80030+1452+63798=145280)
ERROR+HACKER+MAC=MEMORY (26636+498126+598=525360)
ERROR+HACKER+MO=MEMORY (64454+198064+25=262543)
ERROR+HACKER+MS=MEMORY (18808+496218+57=515083)
ERROR+HACKER+OS=MEMORY (26616+397526+18=424160)
ERROR+HACKER+RAM=MEMORY (27757+396027+794=424578)
ERROR+HACKER+RAM=REBOOT (14454+397614+490=412558)
ERROR+HACKER+WEB=REBOOT (48828+796048+345=845221)
ERROR+HACKER+WWW=MEMORY (17787+295417+666=313870)
ERROR+IBOOK+IE=FOLDER (36626+84227+83=120936)
ERROR+IBOOK+IMAC=HACKER (37767+59668+5402=102837)
ERROR+IBOOK+MAC=HACKER (40050+97552+638=138240)
ERROR+IBOOK+MODEM=CRACK (16636+27335+43014=86985)
ERROR+IBOOK+OS=HACKER (25575+83774+76=109425)
ERROR+IBOOK+REBOOT=HACKER (25575+48771+528779=603125)
ERROR+IBOOK+ROM=HACKER (86696+52993+697=140386)
ERROR+IE+MACHINE=MONITOR (52212+65+7084635=7136912)
ERROR+IMAC+MS=HACKER (97737+8506+54=106297)
ERROR+IMAC+OS=HACKER (96646+5702+48=102396)
ERROR+IMAC+RAM=FOLDER (97707+5248+742=103697)
ERROR+IMAC+WWW=HACKER (98828+5304+666=104798)
ERROR+MAC+MODEM=HACKER (67747+852+84368=152967)
ERROR+MAC+MOUSE=HACKER (69939+854+83276=154069)
ERROR+MAC+REBOOT=HACKER (91101+487+196003=287591)
ERROR+MACHINE+MO=MONITOR (95515+3072869+31=3168415)
ERROR+MACHINE+RAM=MONITOR (61181+4759026+174=4820381)
ERROR+MAIL+MEMORY=FOLDER (48808+6351+646089=701248)
ERROR+MAIL+ROM=HACKER (96676+8042+678=105396)
ERROR+MAIL+WWW=FOLDER (98808+5324+666=104798)
ERROR+MEMORY+MODEM=WINDOWS (65595+868954+89368=1023917)
ERROR+MEMORY+MONITOR=NETWORK (19949+616495+6472049=7108493)
ERROR+MEMORY+MOUSE=FLOPPY (46656+242569+25784=315009)
ERROR+MEMORY+MOUSE=REBOOT (83313+282139+21658=387110)
ERROR+MEMORY+RAM=FOLDER (54414+757143+497=812054)
ERROR+MEMORY+ROM=FOLDER (92282+494826+284=587392)
ERROR+MO+MODEM=APPLE (21181+38+38723=59942)
ERROR+MODEM+PC=HACKER (85505+40784+96=126385)
ERROR+MODEM+RAM=HACKER (69979+57465+925=128369)
ERROR+MODEM+ROM=FLOPPY (68898+39763+893=109554)
ERROR+MONITOR+RAM=MACHINE (87717+4150617+724=4239058)
ERROR+MOUSE+MS=CRASH (43393+19804+10=63207)
ERROR+MOUSE+RAM=HACKER (23353+85762+308=109423)
ERROR+MOUSE+REBOOT=MEMORY (53313+41705+359118=454136)
ERROR+MOUSE+ROM=HACKER (72252+35967+253=108472)
ERROR+MS+WWW=MOUSE (19909+28+444=20381)
ERROR+NT+REBOOT=FLOPPY (82272+59+284779=367110)
ERROR+NT+WWW=LINUX (49919+26+333=50278)
ERROR+NT+WWW=MOUSE (69909+14+333=70256)
ERROR+OS+WWW=LINUX (39979+78+555=40612)
ERROR+PC+WWW=MOUSE (69909+14+333=70256)
ERROR+REBOOT+WWW=HACKER (72202+279004+666=351872)
ERROR+WS+WWW=MODEM (79909+36+333=80278)
ERROR+WS+WWW=MOUSE (69909+25+222=70156)
FILE+FOLDER+MODEM=MEMORY (5970+537208+63206=606384)
FILE+IE+MODEM=ERROR (8397+37+61576=70010)
FILE+IE+WEB=CRACK (9658+68+487=10213)
FILE+MAIL+MEMORY=FLOPPY (8219+7421+797365=813005)
FILE+MAIL+MEMORY=FOLDER (8029+7302+797165=812496)
FILE+MAIL+MPU=MODEM (8925+1692+134=10751)
FILE+MEMORY+MS=FLOPPY (8509+797643+71=806223)
FILE+MEMORY+OS=FLOPPY (7509+696342+31=703882)
FILE+MEMORY+ROM=FOLDER (8159+797026+207=805392)
FILE+MO+WWW=MODEM (9854+10+777=10641)
FILE+WS+WWW=CRASH (9638+54+555=10247)
FLOPPY+FOLDER+IE=MEMORY (452990+425173+67=878230)
FLOPPY+FOLDER+OS=MEMORY (278440+287369+81=565890)
FLOPPY+FOLDER+RAM=MEMORY (416990+461372+258=878620)
FLOPPY+FOLDER+WWW=MEMORY (341007+314958+222=656187)
FLOPPY+IE+MODEM=MEMORY (824660+51+94719=919430)
FLOPPY+MODEM+MS=MEMORY (719556+89308+82=808946)
FLOPPY+MODEM+OS=MEMORY (759663+89148+92=848903)
FLOPPY+MODEM+PC=MEMORY (834660+94729+61=929450)
FLOPPY+MODEM+RAM=MEMORY (462008+52315+975=515298)
FLOPPY+MOUSE+MPU=MEMORY (638224+78901+729=717854)
FLOPPY+MOUSE+OS=MEMORY (367558+47091+79=414728)
FOLDER+MEMORY+ROM=REBOOT (105673+272034+302=378009)
FOLDER+MODEM+RAM=MEMORY (265908+36903+873=303684)
GUI+IMAC+MPU=CRACK (958+8621+635=10214)
GUI+IMAC+MPU=CRASH (968+8741+726=10435)
GUI+MAIL+WWW=APPLE (548+9186+333=10067)
HACK+HACKER+MACHINE=SCANNER (4607+460738+1604593=2069938)
HACK+IBOOK+WWW=CRASH (3157+48007+999=52163)
HACK+IMAC+MAC=CRASH (8416+3541+541=12498)
HACK+IMAC+NT=IBOOK (8965+1296+74=10335)
HACK+IMAC+WS=IBOOK (8965+1296+74=10335)
HACK+MAC+MPU=IBOOK (9847+384+326=10557)
HACK+MEMORY+MODEM=HACKER (6493+585702+57185=649380)
HACK+MEMORY+RAM=HACKER (8054+797132+307=805493)
HACK+MEMORY+ROM=HACKER (6017+595342+435=601794)
HACK+MEMORY+WWW=HACKER (8056+797413+222=805691)
HACK+RAM+WWW=IBOOK (8956+493+777=10226)
HACK+WS+WWW=MOUSE (9638+54+555=10247)
HACKER+IE+SCANNER=MACHINE (736045+24+8631145=9367214)
IBOOK+IE+REBOOT=HACKER (65990+64+745993=812047)
IBOOK+IMAC+MO=HACKER (98225+9307+32=107564)
IBOOK+MAIL+MO=FLOPPY (97332+6490+63=103885)
IBOOK+MO+MODEM=ERROR (51339+23+23072=74434)
IBOOK+MODEM+ROM=ERROR (58330+13671+231=72232)
IBOOK+MODEM+ROM=MEMORY (84663+16701+261=101625)
IBOOK+MOUSE+MS=ERROR (64110+21378+27=85515)
IBOOK+MOUSE+OS=MEMORY (86442+14950+45=101437)
IBOOK+RAM+ROM=MOUSE (39007+814+804=40625)
IBOOK+RAM+WWW=MODEM (49007+825+333=50165)
IBOOK+WEB+WWW=ERROR (28997+538+555=30090)
IE+IMAC+MAC=CRASH (92+9631+631=10354)
IE+IMAC+WWW=CRACK (98+9541+777=10416)
IE+LINUX+UNIX=MEMORY (70+97243+4273=101586)
IE+LINUX+WWW=MODEM (91+59348+777=60216)
IE+MAC+MODEM=CRACK (41+728+79517=80286)
IE+PRINTER+REBOOT=NETWORK (80+2583905+507669=3091654)
IMAC+MAC+MO=CRASH (9631+631+65=10327)
IMAC+MAC+MPU=CRACK (9431+431+456=10318)
IMAC+MAC+MS=CRASH (9631+631+62=10324)
IMAC+MAC+NT=CRACK (9631+631+52=10314)
IMAC+MAC+OS=CRACK (9631+631+52=10314)
IMAC+MAC+WS=CRACK (9631+631+52=10314)
IMAC+MAC+WWW=CRASH (8941+941+555=10437)
IMAC+MAC+WWW=MOUSE (9174+174+888=10236)
IMAC+MODEM+ROM=HACKER (6905+98429+389=105723)
IMAC+WS+WWW=CRASH (9531+78+777=10386)
INTERNET+MONITOR+NT=COMPUTER (49073970+2194013+90=51268073)
INTERNET+PRINTER+ROM=COMPUTER (47932739+8247932+261=56180932)
INTERNET+WINDOWS+WS=DISKETTE (27640746+5273859+59=32914664)
MAC+MAIL+ROM=LINUX (873+8701+968=10542)
MAC+MO+MODEM=APPLE (234+29+29752=30015)
MAC+MO+MODEM=ERROR (645+69+69376=70090)
MAC+MODEM+WWW=ERROR (427+48654+999=50080)
MAC+MOUSE+MS=CRACK (425+49783+48=50256)
MAC+MOUSE+PC=CRASH (728+79435+68=80231)
MAC+MOUSE+WWW=CRACK (637+69182+555=70374)
MAIL+MEMORY+RAM=FOLDER (5471+595082+845=601398)
MAIL+MEMORY+ROM=FOLDER (7364+797021+207=804592)
MAIL+MO+WWW=ERROR (9427+98+555=10080)
MAIL+MO+WWW=LINUX (9701+92+555=10348)
MAIL+MPU+RAM=LINUX (8701+864+978=10543)
MAIL+MS+WWW=LINUX (9701+92+555=10348)
MAIL+RAM+ROM=LINUX (8501+958+968=10427)
MEMORY+MO+REBOOT=FLOPPY (595612+56+190664=786332)
MEMORY+MODEM+PRINTER=MONITOR (747123+71847+6290542=7109512)
MEMORY+MODEM+ROM=HACKER (282195+21682+912=304789)
MEMORY+MS+SCANNER=CRACKER (505742+58+8963304=9469104)
MO+MODEM+MPU=ERROR (69+69376+645=70090)
MO+MODEM+OS=APPLE (59+59875+93=60027)
MO+MODEM+WWW=APPLE (59+59125+888=60072)
MO+MODEM+WWW=CRASH (59+59485+777=60321)
MO+MODEM+WWW=LINUX (59+59485+777=60321)
MO+MS+OS=ROM (46+49+69=164)
MODEM+MOUSE+MPU=FLOPPY (89058+89345+823=179226)
MODEM+MOUSE+WS=FOLDER (87208+87960+36=175204)
MODEM+MPU+WWW=ERROR (48654+427+999=50080)
MODEM+MS+WWW=CRASH (29482+27+666=30175)
MODEM+OS+WWW=CRASH (59785+92+444=60321)
MODEM+RAM+REBOOT=FOLDER (96079+329+371665=468073)
MODEM+REBOOT+WEB=FOLDER (42984+580221+780=623985)
MODEM+WEB+WWW=APPLE (49824+127+111=50062)
MODEM+WEB+WWW=ERROR (79587+281+222=80090)
MOUSE+MPU+PC=CRASH (59728+547+46=60321)
MOUSE+WS+WWW=ERROR (49725+32+333=50090)
NETWORK+OS+SCANNER=CRACKER (3905276+24+4813397=8718697)
NETWORK+REBOOT+WWW=PRINTER (7942160+695114+222=8637496)
NETWORK+WINDOWS+WS=DISKETTE (5068792+8351784+84=13420660)
UNIX+WS+WWW=CRASH (9638+54+555=10247)
347 unique-solution puzzles found (524279 puzzles examined)
Total time = 460760 msec.
